V1,A.S. President,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,
R_bQxBYeB9j7NccSh,3,2,"Ridiculus diam sollicitudin atque faucibus proin, tortor? Facilisis porttitor lectus aliquet, commodo placerat morbi.",1,4,1,3,"Amet a, faucibus convallis fringilla, cras vel eros dictumst ipsum leo eros ipsum.",2,4,2,3,Sit donec dolorem sapien ultricies. Euismod praesent blandit pede euismod! Risus.,1,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Et magnis sodales suspendisse integer. Porttitor est tortor auctor! A tempor vel. Porta.,2,
R_8H9sC1w7G1Xg8xT,4,1,Vivamus velit maecenas amet enim eleifend! Lectus! Integer cras consectetuer ab.,2,3,1,,,2,3,2,4,"Venenatis magnis enim tempus facilisis. Nibh bibendum, aliquet id? Mattis ridiculus.",1,3,1,,,,,,1,Interdum quis amet cursus accumsan morbi nullam odio? Accusamus ullamcorper ultrices.,,2,,,,,,,,,,,,,1,"Accumsan enim justo ullamcorper enim. Vitae pharetra placerat, elit dolor morbi.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_40BzKqiZcuUoFdr,1,3,"Risus. Elementum neque? Suscipit volutpat pretium sagittis suscipit pede nec duis neque sit, fusce.",4,2,,,,2,1,,,,2,1,1,2,Ut culpa eleifend a. Pede tempor viverra augue leo amet cursus eget.,3,,1,2,"Duis aenean, dignissim phasellus? Purus justo elementum lorem aliquam. Est. Leo in aenean elementum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,Magna ipsum vulputate! Interdum elementum at. Diam porta pharetra? Aliquam ridiculus vitae! Elementum pretium.,1,
R_6JSG8tyrx6hOve5,4,2,Tortor id proin convallis ligula temporibus dolor est massa vivamus.,1,3,1,3,Egestas. Natoque montes potenti leo. Cursus mauris etiam eleifend dictumst.,2,4,,,,,1,,1,"Ultricies elementum, mi dui, ultricies ab temporibus! Id convallis sit.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2bLgqEChExsiPxb,1,4,"Velit tincidunt facilisis, turpis. Ultrices turpis! Enim vitae leo dignissim cras.",2,3,,,,,1,1,3,Per tortor. Volutpat arcu porta volutpat aliquet suscipit rutrum cras.,4,2,1,2,Montes orci eget eget praesent! Tortor? Vestibulum. Vehicula! Volutpat praesent pharetra! In gravida gravida ullamcorper.,,3,,1,"Accumsan vestibulum. Amet est! Donec suscipit. Mi quis potenti, amet turpis euismod commodo. Convallis eros.",,,,,,,,,,,1,"Sem, ridiculus praesent molestie commodo montes augue faucibus. Duis, pretium lorem. Vitae.",,,,,,,,,8,7,,1,5,,,,2,,,,,,,,,,3,4,,6,,,,,,,9,,,,,,,,,,,,,,,,
R_1SQiJRgtRHeNm1n,3,1,"Risus massa morbi morbi! Imperdiet, facilisi vestibulum atque laoreet ullamcorper. Non viverra dignissim posuere.",4,2,,,,,,1,,,,,,,,,,,3,"Facilisi lacus molestie, mattis, placerat facilisi egestas nec interdum gravida eu ultricies.",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,2,,,,,
R_d6bUWXyO7RroIQd,4,3,"Purus metus accusamus! Lectus eleifend pede cursus consectetuer, tempora proin, vel maecenas viverra rutrum et.",2,1,2,3,Lorem? Sapien accumsan vulputate! Commodo lectus ullamcorper. Felis? Sit quam ipsum.,,1,,,,,,2,,,3,1,,,,,1,,,,,,,,,,,,,,,,,10,,,9,,,,,,,,6,,,,,,4,2,1,,,,3,,,,8,,,7,5,Dapibus maecenas aliquet diam praesent tempor velit urna vivamus mi et? Gravida. Eleifend scelerisque donec.,,,,,,,,,,,,,,
R_efeY2m4DUPiwaoJ,2,1,Ullamcorper tellus lectus? Id. Ultricies felis. Pretium. Vestibulum ullamcorper platea neque malesuada morbi erat sodales.,3,4,1,,,,,,,,,,4,3,Metus potenti platea dictumst? Atque morbi culpa! Praesent dolor. Euismod lacus odio? Sed.,1,2,3,2,"Ac suspendisse purus mauris risus, urna. Orci nonummy odio elementum.",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,
R_9Gel5zRM3u82TgV,4,2,Amet suscipit fermentum ultricies gravida quam in ac tempora! Metus eu potenti ac wisi.,3,1,,2,Massa tempor metus sit eleifend temporibus mi laoreet wisi ultrices pede.,3,1,2,3,"Urna porttitor consequat, purus faucibus nunc. Tempora wisi donec vehicula tempus malesuada.",1,4,,,,,,4,3,Nunc blandit volutpat maecenas vehicula lectus! Et tellus vestibulum proin.,1,2,,,,,,,,,2,Aenean tellus magna. Nunc dolorem laoreet. Ultrices. Orci euismod ridiculus. Morbi. Enim odio nulla arcu.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Est. Dignissim. Sodales neque iaculis nulla pellentesque dictumst. Justo consequat euismod pharetra, massa. Scelerisque.",,5,3,,1,,2,,,,,
R_cUfTYZr2cIxFCzb,4,2,Atque pharetra dui etiam luctus sollicitudin porta neque! Pede lorem.,1,3,1,3,"At atque accusamus, blandit donec metus atque vestibulum quis etiam? Magna, curabitur aliquam? Sollicitudin.",2,,2,1,Volutpat dolor. Interdum quis vitae tempor integer! Ligula gravida elementum vel natoque commodo.,3,4,,1,Nulla magnis cursus nec sapien neque blandit praesent justo fusce scelerisque.,3,2,3,,,2,1,,,,,,,,,,,,,1,Atque. Iaculis diam id rhoncus elementum luctus dapibus scelerisque neque interdum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b2e5a8ceivrJQYB,2,4,Magnis mattis pretium ultrices nonummy euismod mattis wisi ac commodo convallis et.,1,3,,,,,,,,,,,,,,,,3,2,Lorem quam. Aliquet pharetra neque ultricies. Scelerisque justo. Tempor duis. Fusce.,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Pellentesque eros porta elit volutpat iaculis sagittis nullam accumsan sit diam viverra! Nibh orci.,,,,2,,1,,,,,,
R_bE2KjeXBklM48qV,3,2,Leo risus nonummy? Fusce eros odio? Volutpat morbi est molestie commodo.,4,1,,2,Metus. Praesent malesuada urna? Nullam dolor lacus volutpat sed risus nec.,1,3,,,,,,,2,Dapibus tincidunt arcu vel est. Tortor faucibus tortor? Bibendum ac praesent convallis justo tincidunt.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Primis justo tortor in ullamcorper molestie tincidunt turpis eu metus turpis etiam.,2,
R_3F7wfGisvJtgsPH,4,2,"Vel fermentum, sapien eleifend euismod luctus. Fringilla. Bibendum elementum accusamus interdum consectetuer! Felis? Erat commodo.",3,1,,,,,,2,1,"Enim, facilisis molestie massa! Malesuada, ultrices orci. Vestibulum consequat vulputate posuere culpa.",,,2,3,Vitae odio dapibus! Porta vel. Laoreet! Amet. Ab et fringilla.,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Mi mattis aliquam ligula ac eros velit volutpat sagittis dignissim! Consectetuer metus.,1,
R_250CCFi9FcvrtaJ,1,3,"Mauris eleifend bibendum rutrum, aliquet metus ut eget platea accumsan arcu nibh, augue pellentesque.",4,2,,,,,,,,,,,,1,Mauris mauris! Laoreet duis diam placerat phasellus montes potenti venenatis odio magna diam.,3,2,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
R_9NPCNPLQ7cqRU5n,4,2,"Tincidunt curabitur eu consectetuer viverra, dapibus mi mi. Aliquet eget! Pharetra fusce.",3,1,,,,1,,,2,Luctus! Vitae dolor etiam bibendum cras fringilla wisi consectetuer integer! Wisi mi dapibus.,1,,1,,,2,3,1,3,"Non? Mauris eleifend consequat neque potenti tortor sed velit eros dolorem, accusamus.",4,2,,,,,,,,1,2,"Ullamcorper! Maecenas, vulputate sit nullam. Atque quis pretium elementum dolorem arcu phasellus lectus.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cNFTpN68VX0i0xn,1,2,"Leo sapien ullamcorper ligula, fermentum lectus. Posuere natoque sagittis tempus integer.",3,4,,,,,,,,,,,3,4,Porta atque. Curabitur quis vitae facilisi massa tincidunt suscipit primis montes.,2,1,4,2,Sodales? Massa facilisi faucibus suspendisse ultrices lorem iaculis metus per culpa convallis praesent accumsan.,3,1,,,,,,,,,1,"Augue interdum consequat accusamus augue velit, integer sodales. Posuere scelerisque est pretium nunc erat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NzL9idUD7yLy9D,3,4,"Wisi purus temporibus etiam nullam, wisi elementum per primis mi at risus cursus.",2,1,1,2,"Bibendum, suscipit facilisi est curabitur accumsan. Erat tempor phasellus. Viverra convallis tempor suscipit.",3,,,,,,,2,,,,1,2,3,"Suspendisse vivamus risus, aenean. Tempor malesuada? Rutrum laoreet pede vel? Gravida luctus dapibus laoreet.",,1,,,,,,,,,,,,,,,,3,,,,1,,,,,,,2,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
R_6h7ASASHtovRy7z,1,2,Tortor. Felis ab quam ipsum blandit. Lacus ultrices bibendum odio ullamcorper ultricies. Aliquam. Rutrum.,3,4,1,,,,2,1,3,"Et eleifend. Lectus rutrum curabitur tortor, dictumst vivamus. Egestas. Mi aenean pretium justo consequat.",,2,2,,,1,,3,,,2,1,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,5,,2,1,,,,,,,,,,,,,,,,,
R_0djymUmgdNq2IBf,3,2,Blandit nulla auctor vulputate eu est fusce temporibus tortor pharetra molestie auctor metus tincidunt gravida.,4,1,1,4,"Cras lectus vitae velit volutpat tellus pellentesque, est metus nullam augue. Vivamus.",3,2,,,,,1,,1,"Vulputate curabitur iaculis, fusce eros, lectus scelerisque dictumst tempora potenti vestibulum sit montes.",,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,"Dapibus curabitur fermentum ultrices! Auctor primis laoreet suspendisse, facilisis posuere interdum facilisi erat platea per.",2,
R_et9p8gVXLMUNNXv,2,3,"Elit. Viverra purus scelerisque dapibus, tempora tincidunt elit molestie. Sapien eget ligula etiam.",4,1,,,,2,1,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_86Qh4qkNhQaMQdf,2,3,Sed leo. Bibendum duis ridiculus justo. Molestie nec scelerisque imperdiet dictumst curabitur.,1,4,4,1,Cras egestas donec at tempora tempus sollicitudin platea sollicitudin? Leo egestas sollicitudin.,2,3,1,2,"Elementum egestas arcu commodo ullamcorper, rhoncus lorem euismod accumsan neque. Ab, tempor velit! Quam.",3,4,1,2,"Donec rutrum faucibus at, montes risus ligula tellus nonummy pellentesque? Massa? Felis vitae.",3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3w4HvX6wQ3RbjqR,2,1,Sapien aliquam atque suscipit auctor scelerisque molestie duis dolorem imperdiet. Culpa quis culpa.,3,4,,,,,,3,2,"Montes atque? Ac. Sem nulla ante, pede platea proin ipsum, felis atque lorem mi cursus.",1,,,1,Culpa laoreet luctus amet eleifend duis fusce fusce ac bibendum aliquam lectus cursus.,,,2,,,,1,,,,,,,,,1,"Odio tellus primis placerat sollicitudin nonummy pretium auctor natoque, molestie. Vivamus iaculis.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00nDZaanypLoE73,1,3,In. Vivamus risus auctor mi tortor erat placerat vivamus amet eget fermentum nibh proin.,2,4,1,2,Risus malesuada morbi nulla sit sapien platea auctor dignissim nibh. A id posuere.,,3,,,,,1,,1,Primis suscipit. Purus odio eget quam sem dapibus ante iaculis pellentesque.,,2,2,4,Nulla tincidunt massa fermentum nonummy ante dictumst pellentesque euismod erat consequat euismod ac.,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,
R_0GoQOw4PkmR1zfL,4,3,"Rhoncus porta tempus, leo viverra porta a turpis dolor cursus.",2,1,,2,"Massa venenatis felis atque. Risus blandit urna morbi euismod convallis aenean? Egestas scelerisque sodales, facilisi.",1,,2,,,1,3,,,,,,,1,Cursus purus montes aenean ridiculus sed vivamus? Risus montes ut sagittis dapibus. Neque dictumst.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,"Arcu pharetra. Integer sit, tellus dictumst ligula elementum risus magna.",1,
R_d6hd8sRRZ8BDRE9,3,4,Magnis et eu ridiculus tempor ullamcorper interdum ligula elit vulputate dolor.,2,1,,2,Auctor bibendum ab fringilla odio! Ab porta lacus consectetuer iaculis neque.,1,3,,1,Dolorem. Elementum faucibus leo? Rutrum etiam phasellus in vel vehicula gravida.,,,1,,,3,2,2,3,"Potenti! Vel faucibus aenean maecenas morbi! Vehicula duis dictumst, commodo vehicula molestie donec! Bibendum wisi.",,1,,,,,,,,,,,,,,,,,5,,,,,,1,,4,,,,,,,2,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,
R_8bTvRJTeKCX4kw5,3,2,Consectetuer egestas vulputate sollicitudin vulputate potenti! Viverra enim ligula auctor.,1,4,1,,,,2,1,,,,,2,,,1,3,2,3,Quam eu ante elit eros felis convallis quis atque lorem pede.,4,1,,,,3,2,1,,,,,,,,,,,,,7,,,,8,,9,1,,2,,11,,5,,3,,,,6,,10,,4,,,,,,,,,,,,,,,,,,,,,
R_0p0hKcb5AIL2tgN,3,4,"Pretium! Rutrum integer. Ante, facilisis nonummy. In. Rutrum facilisis. Mattis sagittis porttitor accusamus vestibulum.",1,2,3,,,1,2,2,1,Massa porttitor massa ullamcorper ut placerat elementum tempus enim atque maecenas. Laoreet.,,,,1,Sit phasellus enim at ante placerat ullamcorper porta. Montes erat! Donec.,2,,,1,Blandit! Interdum eu. Nibh dui ligula! Lectus. Commodo facilisis cras.,,,,,,,,,,,,,,1,2,Sit eget nonummy id rhoncus tempor gravida dolor ridiculus rutrum.,3,,5,,8,,,,1,,3,11,6,,7,,,,2,,,9,13,,,,,,,10,,12,,4,"Faucibus? Justo massa neque ac ipsum molestie nec, elit proin vitae lectus.",,,,,,,,,,,,,,
R_0AgAl3TsZ32VPdX,2,4,"Tempora mi natoque, nibh viverra. Dictumst auctor ab leo turpis dolorem leo praesent dolorem. Amet.",1,3,1,,,,,,,,1,,,3,Etiam. In curabitur etiam dolorem. Risus commodo rhoncus per iaculis phasellus fringilla.,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9meCuHleDyVGeih,3,4,Enim vulputate! Amet quam lacus facilisi tellus commodo ultricies ultricies phasellus consequat justo. Metus.,1,2,,,,1,,,2,"Ut consectetuer primis sodales cursus, purus maecenas fusce. Magnis mi porta. Natoque.",1,3,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,3,2,,,,,,,,4,,,,,,,,,,,,,,,,
R_80s25QwwQwfvxc1,2,3,Leo tortor magna donec mauris. Ridiculus cursus ullamcorper nunc dolor.,4,1,,,,,,1,2,Nullam sit atque? Tellus nullam. Commodo? Tincidunt ultricies! Posuere et sollicitudin nulla temporibus fusce enim.,4,3,4,3,"Tincidunt. Magna id laoreet, fusce? Diam lorem nullam cursus? Accusamus consectetuer atque.",1,2,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
R_4GT8b3map7rKdY9,3,2,"Facilisis, natoque fermentum eget aliquam consequat arcu faucibus pellentesque dolorem aenean porta pellentesque. Risus. Auctor.",4,1,1,,,,2,,1,Phasellus. Scelerisque interdum eu aliquet bibendum eu at. Cras arcu lorem? Blandit ut.,,,,2,Culpa natoque. Viverra commodo? Dui ab mattis. Pharetra eros sodales mi eleifend aenean vehicula.,,1,3,4,Magna faucibus at odio scelerisque dignissim placerat velit? Tempus blandit rutrum suspendisse.,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0BVuyreiaQft4X3,2,3,Molestie augue? Velit eget ipsum justo? Mi rhoncus per facilisi egestas a metus.,1,4,,1,Elementum primis ligula bibendum per convallis? Sit eu faucibus cras in commodo tempus.,3,2,,,,,1,,,,,,4,1,"Magna mauris! Pharetra, lorem tempor. Sed? Dignissim tincidunt interdum ante consectetuer! Massa consequat lorem.",2,3,,,,,,,,,,,,,,,,4,1,,7,,,,,5,,,,,,,,6,,,,,,,,,,,,,,2,,3,A scelerisque nunc auctor. Rhoncus orci augue! Accumsan rutrum facilisis dictumst felis amet sollicitudin et.,,,,,,,,,,,,,,
R_bjZeRcm6JP2fJOd,2,1,Primis fusce lectus lacus magnis. Vehicula temporibus! Dolorem vehicula potenti.,3,4,4,2,Urna tortor dolor consectetuer etiam erat turpis eleifend? Dapibus mauris id culpa elementum pretium. Morbi.,3,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,Ullamcorper porta donec laoreet consectetuer lectus commodo consectetuer sapien id dictumst dignissim.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Pede velit nec vulputate ultricies purus! Lacus rhoncus sit! Vulputate diam.,,,2,,,3,,,,,,
R_41vkyluxpKHYn9b,1,4,"Elit cursus morbi sem tempora nec, volutpat enim. In. Facilisi duis.",2,3,,1,"Tortor nullam? Rutrum enim rhoncus, fermentum orci per consequat cras wisi tellus.",,,,,,,,3,2,Faucibus odio. Nec quam integer phasellus! Metus ultricies metus. Metus ac tincidunt.,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,,,2,5,,,,,
R_00bVVQJEiWQMvsx,4,2,"Dictumst euismod. Suspendisse, fringilla lacus gravida porta phasellus phasellus curabitur ante porta? Eget.",3,1,,2,"Felis, non? Vulputate dictumst neque convallis integer tempora? Ac pretium eget vitae.",3,1,1,2,"Lacus, vivamus mattis orci tellus, integer? Sed mi odio justo sollicitudin accusamus.",,3,,,,,,1,3,"Viverra diam ante felis tellus eu, bibendum vestibulum nunc iaculis facilisi! Bibendum! Nullam.",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Consequat sapien dolorem! Pellentesque! Nulla, auctor mi natoque mauris lorem. Tempus a non, primis faucibus.",4,2,,,1,5,,,,,,
R_d5qguqCY0USl1rv,2,3,Rhoncus arcu sem sollicitudin vulputate rhoncus! Odio vehicula vel! Phasellus dapibus facilisis accusamus dolor posuere.,1,4,,,,1,,3,2,Ante non facilisis laoreet laoreet orci neque aliquet nunc faucibus.,4,1,,,,,,2,1,Molestie auctor primis! Et facilisis ipsum. Convallis praesent ullamcorper leo consectetuer.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_aY7DaokUloKevhr,3,2,Dapibus. Lorem? Enim odio nibh dolorem consequat proin at sagittis sed.,4,1,,,,,,,,,,,3,,,1,2,2,,,,1,,1,Aenean orci vestibulum aenean pharetra gravida faucibus donec porta! Orci. Orci rutrum.,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,
R_bQ1xdJIRYEeYItL,1,3,Aenean turpis in. Arcu. Posuere euismod placerat! Augue ante! Dui nunc sed dictumst temporibus viverra.,2,4,1,,,,2,3,4,Ante. Iaculis suspendisse in egestas amet? Aenean fringilla pellentesque aenean risus. Fringilla bibendum sodales. Velit.,1,2,1,2,"Commodo ab duis, ullamcorper. Elementum suscipit volutpat morbi nibh id.",3,4,,2,"Integer. Ante atque. Auctor mattis! Interdum dictumst donec, dignissim volutpat! Turpis nonummy? Fermentum turpis.",1,3,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Fusce curabitur praesent pretium molestie nibh. Non morbi quis ligula. Bibendum tempor aenean ligula magnis.,,,,3,1,4,5,,,,,
R_b3fgG5TtlkVJ6wB,3,1,Montes tempora proin magnis justo cursus imperdiet viverra fermentum elit primis.,4,2,1,,,3,2,1,,,3,2,1,2,"Nec, dignissim vestibulum commodo urna elementum sapien metus, sagittis. Porta purus integer tempor amet.",,,,,,,1,,,,,,,,,,,,1,2,A culpa rutrum pellentesque. Temporibus fermentum iaculis natoque? Eros convallis.,,,1,,,,,2,,,,,,,,,,,,,7,,,,3,4,5,,,6,8,,,,,,,,,,,,,,,,,,
R_6Sa18W7Cdb8rFWJ,1,3,Leo? Nulla arcu. Maecenas bibendum culpa tempor volutpat ultricies dictumst potenti.,2,4,2,1,Pretium proin atque orci at temporibus dapibus luctus ab magnis primis nonummy vel.,,,,,,,1,1,2,Dui pretium mattis volutpat accumsan venenatis? Ipsum primis. In at nec! Vestibulum vivamus luctus.,3,,,,,,1,,,,,,,,,,,,,1,"Sollicitudin. Tellus eros, potenti eu dignissim praesent platea eros duis malesuada cursus mattis sagittis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Maecenas, fermentum erat ante sed eget. Lorem quis velit? Felis est integer vel fusce.",,2,4,,3,5,,,,,,
R_b31DdNTGnQxEWCV,2,3,"Tempora wisi nulla! Amet non scelerisque wisi, est sit, phasellus dui.",1,4,3,,,2,1,2,,,,1,3,4,"Dictumst turpis? Quam vulputate dolorem pharetra erat lacus sapien! Wisi! Facilisis platea, enim. Ligula.",2,1,2,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1CfLakrRDCNgNPT,3,2,"Metus, praesent! Tempor eros ridiculus phasellus volutpat tellus blandit aliquet.",4,1,,3,Iaculis est. Lectus interdum iaculis rhoncus tempus. Orci scelerisque imperdiet.,2,1,3,1,Ut nonummy malesuada fringilla! Mattis faucibus! Egestas montes sagittis a aenean potenti sed.,2,4,,,,1,,,1,Mi tortor cras id blandit posuere commodo facilisi per sed purus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_dbwvpa8mhleAs6x,3,1,"Est, curabitur. Montes id, proin scelerisque. Laoreet ullamcorper. In nunc! Duis phasellus vitae.",4,2,3,4,Luctus pellentesque bibendum ultrices velit temporibus. Dui duis felis urna.,2,1,2,1,"Luctus porttitor quis, dolorem consequat viverra leo sit? Tempora tortor magna. In, dolorem dui.",3,4,1,3,"Ipsum, orci posuere! Natoque posuere ridiculus donec. Ab justo! Metus.",2,,3,1,Risus rutrum tempor in purus? Odio elementum vulputate? Dolorem! Donec eu in ab nulla eleifend.,2,,,,,,,,,,,,,2,1,Tempus luctus dignissim vivamus dapibus bibendum. Ridiculus eleifend non velit.,3,,1,,,,,,,,,6,,7,,,,,,,,,,2,,,,,4,8,5,,,3,Cras? Mauris porttitor lorem cursus aliquet morbi. Magnis. Molestie cursus.,,,,,,,,,,,,,,
R_ddpNzSc4wKLrhnT,1,3,Orci placerat scelerisque augue auctor tempora sagittis aliquam vitae ut. Fusce imperdiet potenti.,2,4,,,,,,4,2,Volutpat. Odio accusamus a dolor massa natoque rutrum nec tellus dui metus augue.,3,1,3,1,Dignissim odio ac nec turpis urna venenatis. Ipsum praesent rhoncus sed tellus.,4,2,,2,"Vivamus interdum? Ac scelerisque elit sed justo pharetra posuere, imperdiet. Vehicula dolorem convallis pretium, at.",,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,Pede odio. Euismod pretium consectetuer ac sapien! Primis aliquam a dolor. Erat.,2,
R_243yF3mxYrHfn2R,2,1,"Tincidunt aenean nibh natoque ab? Amet, ut! Ut cras? Justo luctus tellus erat et.",3,4,2,,,,1,1,3,Tincidunt eu imperdiet augue iaculis. Ab. Purus vel. Sagittis justo.,2,4,,,,1,2,2,1,Potenti felis? Vivamus ut? Etiam! Euismod dui! Culpa at wisi curabitur. Proin.,,3,,,,,,,,,,,,2,1,"Consectetuer molestie. Massa aliquet eros porttitor placerat leo vehicula vel, vehicula.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
